PassengerId,Survived,Name
"892","0","Kelly, Mr. James"
"893","1","Wilkes, Mrs. James (Ellen Needs)"
"894","0","Myles, Mr. Thomas Francis"
"895","0","Wirz, Mr. Albert"
"896","1","Hirvonen, Mrs. Alexander (Helga E Lindqvist)"
"897","0","Svensson, Mr. Johan Cervin"
"898","1","Connolly, Miss. Kate"
"899","0","Caldwell, Mr. Albert Francis"
"900","1","Abrahim, Mrs. Joseph (Sophie Halaut Easu)"
"901","0","Davies, Mr. John Samuel"
"902","0","Ilieff, Mr. Ylio"
"903","0","Jones, Mr. Charles Cresson"
"904","1","Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
"905","0","Howard, Mr. Benjamin"
"906","1","Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
"907","1","del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
"908","0","Keane, Mr. Daniel"
"909","0","Assaf, Mr. Gerios"
"910","1","Ilmakangas, Miss. Ida Livija"
"911","1","Assaf Khalil, Mrs. Mariana (Miriam"")"""
"912","0","Rothschild, Mr. Martin"
"913","1","Olsen, Master. Artur Karl"
"914","1","Flegenheim, Mrs. Alfred (Antoinette)"
"915","0","Williams, Mr. Richard Norris II"
"916","1","Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
"917","0","Robins, Mr. Alexander A"
"918","1","Ostby, Miss. Helene Ragnhild"
"919","0","Daher, Mr. Shedid"
"920","0","Brady, Mr. John Bertram"
"921","0","Samaan, Mr. Elias"
"922","0","Louch, Mr. Charles Alexander"
"923","0","Jefferys, Mr. Clifford Thomas"
"924","1","Dean, Mrs. Bertram (Eva Georgetta Light)"
"925","1","Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)"""
"926","0","Mock, Mr. Philipp Edmund"
"927","0","Katavelas, Mr. Vassilios (Catavelas Vassilios"")"""
"928","1","Roth, Miss. Sarah A"
"929","1","Cacic, Miss. Manda"
"930","0","Sap, Mr. Julius"
"931","0","Hee, Mr. Ling"
"932","0","Karun, Mr. Franz"
"933","0","Franklin, Mr. Thomas Parham"
"934","0","Goldsmith, Mr. Nathan"
"935","1","Corbett, Mrs. Walter H (Irene Colvin)"
"936","1","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
"937","0","Peltomaki, Mr. Nikolai Johannes"
"938","0","Chevre, Mr. Paul Romaine"
"939","0","Shaughnessy, Mr. Patrick"
"940","1","Bucknell, Mrs. William Robert (Emma Eliza Ward)"
"941","1","Coutts, Mrs. William (Winnie Minnie"" Treanor)"""
"942","0","Smith, Mr. Lucien Philip"
"943","0","Pulbaum, Mr. Franz"
"944","1","Hocking, Miss. Ellen Nellie"""""
"945","1","Fortune, Miss. Ethel Flora"
"946","0","Mangiavacchi, Mr. Serafino Emilio"
"947","1","Rice, Master. Albert"
"948","0","Cor, Mr. Bartol"
"949","0","Abelseth, Mr. Olaus Jorgensen"
"950","0","Davison, Mr. Thomas Henry"
"951","1","Chaudanson, Miss. Victorine"
"952","0","Dika, Mr. Mirko"
"953","0","McCrae, Mr. Arthur Gordon"
"954","0","Bjorklund, Mr. Ernst Herbert"
"955","1","Bradley, Miss. Bridget Delia"
"956","1","Ryerson, Master. John Borie"
"957","1","Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
"958","1","Burns, Miss. Mary Delia"
"959","0","Moore, Mr. Clarence Bloomfield"
"960","0","Tucker, Mr. Gilbert Milligan Jr"
"961","1","Fortune, Mrs. Mark (Mary McDougald)"
"962","1","Mulvihill, Miss. Bertha E"
"963","0","Minkoff, Mr. Lazar"
"964","1","Nieminen, Miss. Manta Josefina"
"965","0","Ovies y Rodriguez, Mr. Servando"
"966","1","Geiger, Miss. Amalie"
"967","0","Keeping, Mr. Edwin"
"968","0","Miles, Mr. Frank"
"969","1","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
"970","0","Aldworth, Mr. Charles Augustus"
"971","1","Doyle, Miss. Elizabeth"
"972","1","Boulos, Master. Akar"
"973","0","Straus, Mr. Isidor"
"974","0","Case, Mr. Howard Brown"
"975","0","Demetri, Mr. Marinko"
"976","0","Lamb, Mr. John Joseph"
"977","0","Khalil, Mr. Betros"
"978","1","Barry, Miss. Julia"
"979","1","Badman, Miss. Emily Louisa"
"980","1","O'Donoghue, Ms. Bridget"
"981","1","Wells, Master. Ralph Lester"
"982","1","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)"
"983","0","Pedersen, Mr. Olaf"
"984","1","Davidson, Mrs. Thornton (Orian Hays)"
"985","0","Guest, Mr. Robert"
"986","0","Birnbaum, Mr. Jakob"
"987","0","Tenglin, Mr. Gunnar Isidor"
"988","1","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
"989","0","Makinen, Mr. Kalle Edvard"
"990","1","Braf, Miss. Elin Ester Maria"
"991","0","Nancarrow, Mr. William Henry"
"992","1","Stengel, Mrs. Charles Emil Henry (Annie May Morris)"
"993","0","Weisz, Mr. Leopold"
"994","0","Foley, Mr. William"
