x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-10,0.00315158303152268,0.000970732885271249,0.000311808216847088,4.09898164153433e-05,7.0519323098052e-06,7.28468572291254e-07,3.28718773254704e-08,2.66008498005509e-09,2.70487215270088e-13,2.49924922828004e-16,7.65178168438751e-22,9.81453229364128e-23
-9.9,0.00321492663552965,0.000999850018747813,0.000324215118671652,4.34115916226875e-05,7.60187303379035e-06,8.05413259391829e-07,3.77982968079059e-08,3.17067030807841e-09,3.80234792739934e-13,4.14118466570525e-16,1.89387205078833e-21,2.62905163293293e-22
-9.8,0.00328019256166314,0.0010301371420425,0.000337241289861135,4.60006382818465e-05,8.20011316012292e-06,8.91224534427722e-07,4.35082490098492e-08,3.78370730202778e-09,5.35109091372924e-13,6.86147221060227e-16,4.65249889719938e-21,6.97446494795394e-22
-9.7,0.00334745910383627,0.00106165328995516,0.000350923944942937,4.87701829989154e-05,8.8513692711003e-06,9.87008838060653e-07,5.01334620192487e-08,4.5206304196702e-09,7.53895053894035e-13,1.13674948494461e-15,1.1343593925219e-20,1.83232481918201e-21
-9.6,0.00341680856788097,0.00109446108746624,0.000365302915473211,5.17346305489068e-05,9.56086472086586e-06,1.09402116778895e-06,5.78289878111534e-08,5.40753809885337e-09,1.06328520593912e-12,1.88296977873609e-15,2.74489072450946e-20,4.76728766196793e-21
-9.5,0.00348832751982236,0.00112862700551838,0.000380420860931165,5.49096805840031e-05,1.03343890178855e-05,1.2136864164957e-06,6.67775366367164e-08,6.47624565640664e-09,1.5012418596914e-12,3.11837789228909e-15,6.59159888815344e-20,1.22833022976253e-20
-9.4,0.00356210705219103,0.00116422163770437,0.000396323498776174,5.83124570627369e-05,1.11783647384847e-05,1.34762397309595e-06,7.71946540302888e-08,7.76558419461773e-09,2.12180143330484e-12,5.1629262130657e-15,1.57083011782494e-19,3.13423383778009e-20
-9.3,0.00363824306987988,0.00120131999979096,0.000413059855605793,6.19616519121056e-05,1.20999229982476e-05,1.49767611350311e-06,8.93349112478677e-08,9.32300485992069e-09,3.00194400862072e-12,8.54513888181145e-15,3.7146842160094e-19,7.91986415147543e-20
-9.2,0.00371683659719513,0.00124000185420574,0.000430682541568589,6.5877684629075e-05,1.31069886576733e-05,1.66594080032526e-06,1.03499315943613e-07,1.12065625418441e-08,4.25142207270202e-12,1.4137475919298e-14,8.71666591940054e-19,1.98185458125563e-19
-9.1,0.00379799410790825,0.00128035206183558,0.000449248050427814,7.00828797492438e-05,1.42083766112316e-05,1.85480961605978e-06,1.2004419374311e-07,1.34873716060322e-08,6.02683140790670e-12,2.33790543615587e-14,2.02953432078233e-18,4.91124059348918e-19
-9,0.00388182788029013,0.00132246096373121,0.000468817087943701,7.46016643625904e-05,1.54139007086577e-05,2.067011680109e-06,1.39391844854259e-07,1.62526495066909e-08,8.55176601161283e-12,3.86417082154717e-14,4.68858364821899e-18,1.20524042077342e-18
-8.9,0.00396845637930172,0.00136642479558685,0.000489454931547557,7.94607881437865e-05,1.67344970883999e-05,2.30566454831086e-06,1.6204334515197e-07,1.96094933670291e-08,1.21457020576523e-11,6.38309394221175e-14,1.07465255638302e-17,2.92898349855467e-18
-8.8,0.00405800466832982,0.00141234613817095,0.000511231824624367,8.4689568692846e-05,1.818236397081e-05,2.57433326919639e-06,1.88593940972697e-07,2.36895714308478e-08,1.72654100594525e-11,1.05371252672452e-13,2.44375459230575e-17,7.04885616151376e-18
-8.7,0.00415060485309416,0.00146033440722634,0.00053422340910739,9.03201653570319e-05,1.97711202690415e-05,2.87709897903436e-06,2.19751584480976e-07,2.86549576786856e-08,2.45643529985392e-11,1.73819575309651e-13,5.5130544678788e-17,1.67987362672005e-17
-8.6,0.00424639656061621,0.00151050638674196,0.000558511200524213,9.63878851340953e-05,2.1515985735898e-05,3.21863866411513e-06,2.56359276025197e-07,3.47053964128346e-08,3.49779115911066e-11,2.865033461318e-13,1.23382716685393e-16,3.964501552562e-17
-8.5,0.004345527456434,0.0015629868099277,0.000584183110125628,0.000102931524748361,2.34339857835018e-05,3.60431801111111e-06,2.99422026455364e-07,4.20873574806042e-08,4.98457023602978e-11,4.7182744972497e-13,2.73921429357355e-16,9.26514863152075e-17
-8.4,0.00444815380357449,0.00161790899270579,0.000611334019284224,0.000109993753554507,2.55441845995906e-05,4.04029961367474e-06,3.50139432205224e-07,5.1105336135387e-08,7.10871734650881e-11,7.76294281012703e-13,6.03239426334873e-16,2.14420266983924e-16
-8.3,0.00455444106715969,0.0016754155250725,0.000640066411977796,0.000117621542570347,2.78679507512399e-05,4.53366921644493e-06,4.09945076811761e-07,6.21359695598258e-08,1.0145372768101e-10,1.27592631651549e-12,1.31773463594957e-15,4.91390512527026e-16
-8.2,0.00466456456893011,0.00173565902629179,0.000670491071883617,0.000125866645682483,3.04292601276907e-05,5.09258316925041e-06,4.80554244078161e-07,7.56456914503617e-08,1.44890763064304e-10,2.09481813203583e-12,2.85511338051881e-15,1.11514943467122e-15
