"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,0.000865,0.000207,"ms/op",100
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,0.329978,0.211484,"ms/op",1000
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,51.392435,4.462932,"ms/op",10000
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,0.000882,0.000168,"ms/op",100
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,0.318047,0.131970,"ms/op",1000
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,51.473872,9.542781,"ms/op",10000
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,0.001217,0.000299,"ms/op",100
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,0.291537,0.021521,"ms/op",1000
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,53.292774,36.923016,"ms/op",10000
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,0.001341,0.000044,"ms/op",100
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,0.353963,0.064144,"ms/op",1000
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,53.421197,98.330657,"ms/op",10000
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,0.001256,0.000679,"ms/op",100
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,0.378126,0.516175,"ms/op",1000
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,50.255337,3.347815,"ms/op",10000
