"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,0.000871,0.000379,"ms/op",100
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,0.315073,0.058206,"ms/op",1000
"tensor.AbsBenchmark.fillBaseOrderC","avgt",1,3,50.954856,5.973734,"ms/op",10000
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,0.000855,0.000107,"ms/op",100
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,0.316956,0.098758,"ms/op",1000
"tensor.AbsBenchmark.fillBaseOrderF","avgt",1,3,50.909261,4.585285,"ms/op",10000
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,0.001165,0.000168,"ms/op",100
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,0.280223,0.046203,"ms/op",1000
"tensor.AbsBenchmark.fillJSAT","avgt",1,3,51.594900,3.628015,"ms/op",10000
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,0.001164,0.000110,"ms/op",100
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,0.346889,0.088955,"ms/op",1000
"tensor.AbsBenchmark.fillVecOrderC","avgt",1,3,50.237728,3.650355,"ms/op",10000
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,0.001183,0.000504,"ms/op",100
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,0.342157,0.067304,"ms/op",1000
"tensor.AbsBenchmark.fillVecOrderF","avgt",1,3,50.077668,3.347992,"ms/op",10000
