"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.158959,0.025032,"ms/op",100
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.557508,1.215162,"ms/op",500
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,1.616678,2.636578,"ms/op",1000
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,14.025335,1.587899,"ms/op",2500
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,175.609833,103.734859,"ms/op",5000
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,364.458527,115.635794,"ms/op",10000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.016157,0.028695,"ms/op",100
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.227175,0.033706,"ms/op",500
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,1.022517,0.430697,"ms/op",1000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,7.769955,12.659406,"ms/op",2500
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,34.920304,146.343034,"ms/op",5000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,165.230709,1746.429657,"ms/op",10000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,0.027394,0.004727,"ms/op",100
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,0.556316,0.288002,"ms/op",500
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,2.604849,0.640722,"ms/op",1000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,20.128405,1.458272,"ms/op",2500
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,117.074668,124.615949,"ms/op",5000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,376.983674,216.425293,"ms/op",10000
