"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,0.019976,0.013885,"ms/op",100
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,0.756433,0.343352,"ms/op",500
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,1.905427,0.738119,"ms/op",1000
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,17.486157,81.187743,"ms/op",2500
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,87.893174,97.014490,"ms/op",5000
"commons.tensor.CopyBenchmark.transposeBaseOrderC","avgt",1,3,431.315191,1821.038866,"ms/op",10000
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,0.014315,0.003823,"ms/op",100
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,0.278867,0.051104,"ms/op",500
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,1.028953,0.106381,"ms/op",1000
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,6.764552,5.034815,"ms/op",2500
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,31.791405,118.227390,"ms/op",5000
"commons.tensor.CopyBenchmark.transposeBaseOrderF","avgt",1,3,130.710464,750.603950,"ms/op",10000
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,0.014654,0.001032,"ms/op",100
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,0.499128,0.095918,"ms/op",500
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,2.506300,1.332170,"ms/op",1000
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,18.353278,3.480979,"ms/op",2500
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,118.688564,275.064510,"ms/op",5000
"commons.tensor.CopyBenchmark.transposeJSAT","avgt",1,3,473.454528,105.027247,"ms/op",10000
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,0.019054,0.006193,"ms/op",100
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,0.728845,0.132246,"ms/op",500
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,1.925141,1.088760,"ms/op",1000
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,13.761392,4.297446,"ms/op",2500
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,85.203096,98.793903,"ms/op",5000
"commons.tensor.CopyBenchmark.transposeVecOrderC","avgt",1,3,433.790192,1995.880341,"ms/op",10000
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,0.016975,0.061732,"ms/op",100
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,0.388986,0.070586,"ms/op",500
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,1.062551,0.381620,"ms/op",1000
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,7.431423,10.792757,"ms/op",2500
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,36.192289,105.184617,"ms/op",5000
"commons.tensor.CopyBenchmark.transposeVecOrderF","avgt",1,3,182.586924,2036.038748,"ms/op",10000
