"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.012225,0.003123,"ms/op",100
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.237014,0.063768,"ms/op",500
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,1.454093,0.044821,"ms/op",1000
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,23.720452,10.086065,"ms/op",2500
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,145.843612,224.165115,"ms/op",5000
"commons.array.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,957.985953,437.345428,"ms/op",10000
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.008234,0.001502,"ms/op",100
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.212613,0.258500,"ms/op",500
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,1.135313,1.557422,"ms/op",1000
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,7.007380,13.352525,"ms/op",2500
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,40.507206,263.736904,"ms/op",5000
"commons.array.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,264.358334,1022.939002,"ms/op",10000
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,0.014862,0.004670,"ms/op",100
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,0.533418,0.091939,"ms/op",500
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,2.596753,0.530397,"ms/op",1000
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,18.700789,22.269586,"ms/op",2500
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,96.298861,204.156650,"ms/op",5000
"commons.array.CopyBenchmark.testJSAT","avgt",1,3,530.752647,2878.803521,"ms/op",10000
