"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.018502,0.011867,"ms/op",100
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,0.314774,0.178310,"ms/op",500
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,1.171854,0.141317,"ms/op",1000
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,9.357144,3.450724,"ms/op",2500
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,57.800650,273.669180,"ms/op",5000
"commons.tensor.CopyBenchmark.tensorTransposeOrderC","avgt",1,3,184.293610,1817.645132,"ms/op",10000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.008256,0.001648,"ms/op",100
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,0.189112,0.034794,"ms/op",500
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,1.031258,0.543282,"ms/op",1000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,7.879953,22.088560,"ms/op",2500
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,43.660105,71.668232,"ms/op",5000
"commons.tensor.CopyBenchmark.tensorTransposeOrderF","avgt",1,3,235.749912,2015.389106,"ms/op",10000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,0.018431,0.087098,"ms/op",100
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,0.533670,0.175090,"ms/op",500
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,2.768933,4.088546,"ms/op",1000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,20.553081,28.388733,"ms/op",2500
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,109.141494,169.849159,"ms/op",5000
"commons.tensor.CopyBenchmark.testJSAT","avgt",1,3,521.870649,1698.188271,"ms/op",10000
