"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,0.133516,0.007223,"ms/op",100
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,13.673949,1.785667,"ms/op",250
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,128.880439,77.689355,"ms/op",500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,94.341748,12.217403,"ms/op",1000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,413.116877,107.472607,"ms/op",1500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,993.086739,129.695967,"ms/op",2000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,3097.529878,83.047978,"ms/op",3000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotBaseBase","avgt",1,5,8102.515865,1486.488108,"ms/op",4000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,0.197340,0.019616,"ms/op",100
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,1.255230,0.124564,"ms/op",250
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,11.053039,0.962416,"ms/op",500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,101.833899,8.480449,"ms/op",1000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,425.967785,85.827307,"ms/op",1500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,1038.250427,190.817000,"ms/op",2000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,3582.841656,1044.863952,"ms/op",3000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCC","avgt",1,5,8796.241879,969.830801,"ms/op",4000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,0.183630,0.020271,"ms/op",100
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,1.273037,0.196638,"ms/op",250
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,10.134456,1.077632,"ms/op",500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,96.713599,10.894279,"ms/op",1000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,405.060724,57.117495,"ms/op",1500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,1030.356561,400.632315,"ms/op",2000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,3336.638882,1053.593471,"ms/op",3000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotCR","avgt",1,5,8664.307417,1458.889769,"ms/op",4000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,0.185072,0.045255,"ms/op",100
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,1.281729,0.231498,"ms/op",250
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,10.407605,1.026157,"ms/op",500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,97.955117,22.367217,"ms/op",1000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,409.679606,79.431386,"ms/op",1500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,1020.458359,238.464833,"ms/op",2000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,3328.436293,241.267434,"ms/op",3000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRC","avgt",1,5,8625.297454,1801.670669,"ms/op",4000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,0.181485,0.017417,"ms/op",100
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,1.237355,0.151005,"ms/op",250
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,10.459803,0.716470,"ms/op",500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,97.216108,11.058607,"ms/op",1000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,421.939819,83.734142,"ms/op",1500
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,1017.908715,205.207007,"ms/op",2000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,3500.168754,497.038712,"ms/op",3000
"algebra.rapaio.DMatrixDMatrixDotBenchmark.testDotRR","avgt",1,5,8504.283980,752.348703,"ms/op",4000
