"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000087,0.000028,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000441,0.000464,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.003578,0.000478,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.184128,0.707653,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.992384,0.053229,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000076,0.000016,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000596,0.000765,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.007609,0.009479,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.092464,0.062445,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.978550,0.144201,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000153,0.000040,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000938,0.000120,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.016321,0.014586,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.179821,0.178677,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,2.316507,0.325944,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.000210,0.000230,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.001959,0.001932,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.013590,0.017682,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.157609,0.096352,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,2.351080,1.139178,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000091,0.000042,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000597,0.000707,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.007224,0.004605,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.087521,0.063289,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,1.010024,0.294543,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.000159,0.000108,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.001044,0.000574,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.013926,0.002136,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.160238,0.100131,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,2.315944,0.514958,"ms/op",1000000
