"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayDense","avgt",1,5,0.000046,0.000019,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayDense","avgt",1,5,0.000271,0.000086,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayDense","avgt",1,5,0.002982,0.000297,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayDense","avgt",1,5,0.053121,0.009691,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayDense","avgt",1,5,0.804756,0.208385,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayMap","avgt",1,5,0.000075,0.000005,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayMap","avgt",1,5,0.000646,0.000008,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayMap","avgt",1,5,0.007235,0.000528,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayMap","avgt",1,5,0.100904,0.008874,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayMap","avgt",1,5,2.121033,0.203110,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayStride","avgt",1,5,0.000057,0.000002,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayStride","avgt",1,5,0.000412,0.000017,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayStride","avgt",1,5,0.005038,0.000437,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayStride","avgt",1,5,0.077613,0.014208,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testArrayStride","avgt",1,5,1.828138,0.127637,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000036,0.000004,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000216,0.000023,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.002979,0.000170,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.048127,0.032385,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.883287,0.109186,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000029,0.000002,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000237,0.000016,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.002960,0.000133,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.047289,0.006292,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.898043,0.066829,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000072,0.000002,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000652,0.000044,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.007089,0.000294,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.102475,0.018842,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,2.141746,0.093605,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.000080,0.000001,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.000701,0.000016,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.007424,0.000241,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.098803,0.008567,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,1.930057,0.099808,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000029,0.000001,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000238,0.000010,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.002996,0.000145,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.043278,0.011620,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.888462,0.098680,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.000066,0.000001,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.000650,0.000040,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.007104,0.000423,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.100861,0.015959,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,2.095394,0.285234,"ms/op",1000000
