"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorFillBenchmark.testBase","avgt",1,5,0.000172,0.000075,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testBase","avgt",1,5,0.000939,0.000442,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testBase","avgt",1,5,0.007899,0.008849,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testBase","avgt",1,5,0.093422,0.031327,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testBase","avgt",1,5,0.968527,0.157291,"ms/op",1000000
"algebra.rapaio.DVectorFillBenchmark.testDense","avgt",1,5,0.000129,0.000048,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testDense","avgt",1,5,0.000975,0.001052,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testDense","avgt",1,5,0.008768,0.004735,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testDense","avgt",1,5,0.108059,0.025838,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testDense","avgt",1,5,0.969948,0.476987,"ms/op",1000000
"algebra.rapaio.DVectorFillBenchmark.testMap","avgt",1,5,0.001368,0.001305,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testMap","avgt",1,5,0.010542,0.010289,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testMap","avgt",1,5,0.089620,0.111926,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testMap","avgt",1,5,1.219062,0.790792,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testMap","avgt",1,5,7.986553,2.582396,"ms/op",1000000
"algebra.rapaio.DVectorFillBenchmark.testStride","avgt",1,5,0.000199,0.000095,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testStride","avgt",1,5,0.001018,0.000645,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testStride","avgt",1,5,0.006798,0.000648,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testStride","avgt",1,5,0.103604,0.008545,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testStride","avgt",1,5,0.963384,0.410189,"ms/op",1000000
"algebra.rapaio.DVectorFillBenchmark.testVarDense","avgt",1,5,0.000134,0.000061,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testVarDense","avgt",1,5,0.000545,0.000141,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testVarDense","avgt",1,5,0.007654,0.001932,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testVarDense","avgt",1,5,0.091161,0.010319,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testVarDense","avgt",1,5,1.384239,2.236581,"ms/op",1000000
"algebra.rapaio.DVectorFillBenchmark.testVarMap","avgt",1,5,0.001979,0.001437,"ms/op",100
"algebra.rapaio.DVectorFillBenchmark.testVarMap","avgt",1,5,0.022264,0.029443,"ms/op",1000
"algebra.rapaio.DVectorFillBenchmark.testVarMap","avgt",1,5,0.243513,0.340683,"ms/op",10000
"algebra.rapaio.DVectorFillBenchmark.testVarMap","avgt",1,5,0.599919,0.099516,"ms/op",100000
"algebra.rapaio.DVectorFillBenchmark.testVarMap","avgt",1,5,5.170274,1.093717,"ms/op",1000000
