"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayDense","avgt",1,5,0.000038,0.000008,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayDense","avgt",1,5,0.000259,0.000172,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayDense","avgt",1,5,0.002861,0.000188,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayDense","avgt",1,5,0.044274,0.011996,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayDense","avgt",1,5,0.898238,0.078316,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayMap","avgt",1,5,0.000072,0.000003,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayMap","avgt",1,5,0.000651,0.000016,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayMap","avgt",1,5,0.007165,0.000249,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayMap","avgt",1,5,0.089434,0.006015,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayMap","avgt",1,5,2.152174,0.138177,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayStride","avgt",1,5,0.000044,0.000001,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayStride","avgt",1,5,0.000381,0.000014,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayStride","avgt",1,5,0.004967,0.000188,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayStride","avgt",1,5,0.069520,0.012147,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testArrayStride","avgt",1,5,1.863046,0.033506,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testBase","avgt",1,5,0.000033,0.000001,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testBase","avgt",1,5,0.000232,0.000015,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testBase","avgt",1,5,0.002948,0.000094,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testBase","avgt",1,5,0.038115,0.006130,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testBase","avgt",1,5,0.902264,0.053899,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testDense","avgt",1,5,0.000029,0.000002,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testDense","avgt",1,5,0.000271,0.000312,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testDense","avgt",1,5,0.002944,0.000093,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testDense","avgt",1,5,0.046107,0.007693,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testDense","avgt",1,5,0.912543,0.075420,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testMap","avgt",1,5,0.000073,0.000005,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testMap","avgt",1,5,0.000632,0.000014,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testMap","avgt",1,5,0.007168,0.000506,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testMap","avgt",1,5,0.092344,0.011615,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testMap","avgt",1,5,2.161912,0.149967,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testStride","avgt",1,5,0.000079,0.000002,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testStride","avgt",1,5,0.000706,0.000063,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testStride","avgt",1,5,0.007838,0.001695,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testStride","avgt",1,5,0.093581,0.007941,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testStride","avgt",1,5,1.957591,0.101885,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarDense","avgt",1,5,0.000029,0.000001,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testVarDense","avgt",1,5,0.000238,0.000030,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarDense","avgt",1,5,0.003033,0.000116,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarDense","avgt",1,5,0.038811,0.005479,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarDense","avgt",1,5,0.912548,0.073569,"ms/op",1000000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarMap","avgt",1,5,0.000064,0.000001,"ms/op",100
"algebra.rapaio.DVectorLogScalarBenchmark.testVarMap","avgt",1,5,0.000644,0.000026,"ms/op",1000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarMap","avgt",1,5,0.007186,0.000685,"ms/op",10000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarMap","avgt",1,5,0.091136,0.009379,"ms/op",100000
"algebra.rapaio.DVectorLogScalarBenchmark.testVarMap","avgt",1,5,2.129799,0.184996,"ms/op",1000000
