"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorPNormBenchmark.testBase","avgt",1,5,0.002101,0.000123,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testBase","avgt",1,5,0.022811,0.007643,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testBase","avgt",1,5,0.219450,0.113228,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testBase","avgt",1,5,2.759469,2.520776,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testBase","avgt",1,5,25.317850,27.483525,"ms/op",1000000
"algebra.rapaio.DVectorPNormBenchmark.testDense","avgt",1,5,0.002245,0.000695,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testDense","avgt",1,5,0.020795,0.001464,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testDense","avgt",1,5,0.204496,0.014849,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testDense","avgt",1,5,2.041062,0.724989,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testDense","avgt",1,5,19.918349,12.601543,"ms/op",1000000
"algebra.rapaio.DVectorPNormBenchmark.testMap","avgt",1,5,0.002270,0.000442,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testMap","avgt",1,5,0.022555,0.003782,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testMap","avgt",1,5,0.223193,0.017071,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testMap","avgt",1,5,2.144378,0.340831,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testMap","avgt",1,5,22.663525,7.012649,"ms/op",1000000
"algebra.rapaio.DVectorPNormBenchmark.testStride","avgt",1,5,0.002386,0.000357,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testStride","avgt",1,5,0.023599,0.004891,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testStride","avgt",1,5,0.217597,0.023767,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testStride","avgt",1,5,2.153468,0.455757,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testStride","avgt",1,5,20.977285,3.270710,"ms/op",1000000
"algebra.rapaio.DVectorPNormBenchmark.testVarDense","avgt",1,5,0.002149,0.000262,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testVarDense","avgt",1,5,0.021388,0.003769,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testVarDense","avgt",1,5,0.210375,0.051253,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testVarDense","avgt",1,5,1.951421,0.333208,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testVarDense","avgt",1,5,19.542468,3.926439,"ms/op",1000000
"algebra.rapaio.DVectorPNormBenchmark.testVarMap","avgt",1,5,0.001164,0.000098,"ms/op",100
"algebra.rapaio.DVectorPNormBenchmark.testVarMap","avgt",1,5,0.011469,0.001374,"ms/op",1000
"algebra.rapaio.DVectorPNormBenchmark.testVarMap","avgt",1,5,0.147401,0.167720,"ms/op",10000
"algebra.rapaio.DVectorPNormBenchmark.testVarMap","avgt",1,5,1.184957,0.436814,"ms/op",100000
"algebra.rapaio.DVectorPNormBenchmark.testVarMap","avgt",1,5,12.735531,6.517222,"ms/op",1000000
