"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.000148,0.000033,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.001160,0.000289,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.010544,0.000211,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.113968,0.007525,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,1.121857,0.051047,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.000081,0.000013,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.000444,0.000106,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.005051,0.002729,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.065314,0.022386,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.496508,0.089802,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.000090,0.000027,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.000712,0.000258,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.011002,0.003084,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.130878,0.021361,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,1.442971,0.081258,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.000088,0.000014,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.000681,0.000031,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.010893,0.004532,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.121119,0.013679,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,1.145652,0.305218,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.000073,0.000009,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.000429,0.000029,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.006311,0.004463,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.074121,0.040513,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.598845,0.089117,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.000080,0.000014,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.000659,0.000197,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.009131,0.003658,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.139080,0.023367,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,1.394853,0.414667,"ms/op",1000000
