"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.000122,0.000031,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.001021,0.000060,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.009825,0.000210,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,0.114129,0.063391,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testBase","avgt",1,5,1.097352,0.182875,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.000059,0.000003,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.000319,0.000022,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.003393,0.001291,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.045012,0.013192,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testDense","avgt",1,5,0.588531,0.057488,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.000071,0.000001,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.000542,0.000046,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.011886,0.000428,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,0.077149,0.002239,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testMap","avgt",1,5,1.401430,0.110754,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.000081,0.000017,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.000614,0.000063,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.014726,0.001694,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,0.083721,0.009491,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testStride","avgt",1,5,1.134750,0.031321,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.000062,0.000002,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.000313,0.000037,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.003419,0.001469,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.040792,0.020882,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testVarDense","avgt",1,5,0.594262,0.108047,"ms/op",1000000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.000069,0.000004,"ms/op",100
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.000544,0.000087,"ms/op",1000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.011401,0.000671,"ms/op",10000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,0.076986,0.007095,"ms/op",100000
"algebra.rapaio.DVectorSumBenchmark.testVarMap","avgt",1,5,1.400013,0.095808,"ms/op",1000000
