"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddScalar","thrpt",1,5,32547.077469,720.059838,"ops/ms",100
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddScalar","thrpt",1,5,10106.927973,416.705347,"ops/ms",1000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddScalar","thrpt",1,5,617.971256,14.609762,"ops/ms",10000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddScalar","thrpt",1,5,38.742645,11.623599,"ops/ms",100000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddScalar","thrpt",1,5,1.753170,0.081478,"ops/ms",1000000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddVector","thrpt",1,5,18558.452460,4172.297124,"ops/ms",100
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddVector","thrpt",1,5,2328.786249,1114.842088,"ops/ms",1000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddVector","thrpt",1,5,215.600238,42.053664,"ops/ms",10000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddVector","thrpt",1,5,15.014095,3.140460,"ops/ms",100000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testAddVector","thrpt",1,5,0.942815,0.023595,"ops/ms",1000000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddScalar","thrpt",1,5,34833.852952,545.844286,"ops/ms",100
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddScalar","thrpt",1,5,8630.806976,635.139845,"ops/ms",1000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddScalar","thrpt",1,5,689.168327,38.920956,"ops/ms",10000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddScalar","thrpt",1,5,44.638386,6.699927,"ops/ms",100000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddScalar","thrpt",1,5,1.776827,0.126537,"ops/ms",1000000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddVector","thrpt",1,5,1742.727384,73.185976,"ops/ms",100
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddVector","thrpt",1,5,4612.876881,270.229324,"ops/ms",1000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddVector","thrpt",1,5,368.898115,9.004964,"ops/ms",10000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddVector","thrpt",1,5,28.895221,31.640515,"ops/ms",100000
"algebra.rapaio.collection.DoubleArrayOperationsBenchmark.testVAddVector","thrpt",1,5,1.387938,0.072978,"ops/ms",1000000
