"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,0.001305,0.000713,"ms/op",100
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,0.003814,0.000761,"ms/op",1000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,0.030371,0.109698,"ms/op",10000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,0.321147,0.155756,"ms/op",100000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,5.885841,7.289879,"ms/op",1000000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,164.316471,25.162152,"ms/op",10000000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,1967.791264,673.717684,"ms/op",100000000
"unlinkedlist.Eratostenes.testSieveClassic","avgt",1,3,38775.990645,30531.627023,"ms/op",1000000000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,0.001222,0.000103,"ms/op",100
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,0.002430,0.001238,"ms/op",1000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,0.015613,0.040048,"ms/op",10000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,0.206794,0.009819,"ms/op",100000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,3.122744,3.988652,"ms/op",1000000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,81.881076,227.556837,"ms/op",10000000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,805.018923,176.452665,"ms/op",100000000
"unlinkedlist.Eratostenes.testSieveSkip2","avgt",1,3,11274.829458,851.475350,"ms/op",1000000000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,0.001254,0.000841,"ms/op",100
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,0.002295,0.000461,"ms/op",1000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,0.015635,0.011873,"ms/op",10000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,0.195635,0.013239,"ms/op",100000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,2.123628,0.210921,"ms/op",1000000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,21.586780,4.011393,"ms/op",10000000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,356.884174,35.051092,"ms/op",100000000
"unlinkedlist.Eratostenes.testSieveSkip23Flags","avgt",1,3,4114.460343,2876.299207,"ms/op",1000000000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,0.001215,0.000118,"ms/op",100
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,0.002503,0.000273,"ms/op",1000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,0.019695,0.005276,"ms/op",10000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,0.180738,0.054846,"ms/op",100000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,1.825364,0.319394,"ms/op",1000000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,42.074484,6.276311,"ms/op",10000000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,558.695035,154.560323,"ms/op",100000000
"unlinkedlist.Eratostenes.testSieveSkip2Flags","avgt",1,3,6673.653051,3237.412038,"ms/op",1000000000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,0.031809,0.010367,"ms/op",100
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,0.073617,0.062461,"ms/op",1000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,0.138388,0.060517,"ms/op",10000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,0.754363,0.187942,"ms/op",100000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,4.283628,1.250615,"ms/op",1000000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,26.335505,12.007486,"ms/op",10000000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,202.568433,103.288492,"ms/op",100000000
"unlinkedlist.Eratostenes.testSieveSkip32FlagsParallel","avgt",1,3,2258.194498,635.402989,"ms/op",1000000000
