"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.000839,0.000059,"ms/op",100
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.047653,0.069619,"ms/op",500
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.462869,0.763392,"ms/op",1000
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,3.593152,0.461906,"ms/op",2500
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,14.379028,5.206469,"ms/op",5000
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,56.112071,15.895133,"ms/op",10000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.000933,0.000969,"ms/op",100
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.050498,0.130712,"ms/op",500
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.474620,0.970603,"ms/op",1000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,3.694856,3.186640,"ms/op",2500
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,15.615020,27.588556,"ms/op",5000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,55.895414,13.659128,"ms/op",10000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.001174,0.000171,"ms/op",100
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.046563,0.013922,"ms/op",500
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.360263,0.863303,"ms/op",1000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,4.311852,9.332023,"ms/op",2500
"tensor.FillBenchmark.fillJSAT","avgt",1,3,14.216997,2.387442,"ms/op",5000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,58.529439,47.689100,"ms/op",10000
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,0.001184,0.000638,"ms/op",100
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,0.060161,0.088089,"ms/op",500
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,0.461592,0.581624,"ms/op",1000
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,3.522758,0.852450,"ms/op",2500
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,14.856145,8.755839,"ms/op",5000
"tensor.FillBenchmark.fillVecOrderC","avgt",1,3,62.380141,70.177833,"ms/op",10000
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,0.001191,0.000164,"ms/op",100
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,0.059114,0.023167,"ms/op",500
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,0.494996,0.844622,"ms/op",1000
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,3.931552,5.326548,"ms/op",2500
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,15.355743,11.689195,"ms/op",5000
"tensor.FillBenchmark.fillVecOrderF","avgt",1,3,60.538582,123.211464,"ms/op",10000
