"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.000810,0.000065,"ms/op",100
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.041124,0.043437,"ms/op",500
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,0.490452,2.860735,"ms/op",1000
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,4.152033,5.676347,"ms/op",2500
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,14.703894,18.368602,"ms/op",5000
"tensor.FillBenchmark.fillBaseOrderC","avgt",1,3,62.230545,96.711239,"ms/op",10000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.000920,0.002915,"ms/op",100
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.064370,0.048940,"ms/op",500
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,0.585654,1.448907,"ms/op",1000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,4.166953,1.885357,"ms/op",2500
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,15.943857,2.501317,"ms/op",5000
"tensor.FillBenchmark.fillBaseOrderF","avgt",1,3,62.221637,15.800246,"ms/op",10000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.001216,0.002758,"ms/op",100
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.052571,0.025933,"ms/op",500
"tensor.FillBenchmark.fillJSAT","avgt",1,3,0.735554,2.141202,"ms/op",1000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,6.074012,14.299238,"ms/op",2500
"tensor.FillBenchmark.fillJSAT","avgt",1,3,22.236913,31.948813,"ms/op",5000
"tensor.FillBenchmark.fillJSAT","avgt",1,3,98.039848,577.293073,"ms/op",10000
