"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,0.009321,0.000621,"ms/op",100
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,0.236909,0.010299,"ms/op",500
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,0.009368,0.002308,"ms/op",100
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,0.235057,0.002160,"ms/op",500
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,0.001405,0.000743,"ms/op",100
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,0.049231,0.005977,"ms/op",500
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,0.001540,0.000983,"ms/op",100
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,0.063332,0.006368,"ms/op",500
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,0.001493,0.000186,"ms/op",100
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,0.063487,0.003504,"ms/op",500
