"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,0.010556,0.006137,"ms/op",100
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,0.260163,0.058863,"ms/op",500
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,1.091722,0.150242,"ms/op",1000
"tensor.FloorBenchmark.fillBaseOrderC","avgt",1,3,6.686739,1.506893,"ms/op",2500
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,0.009455,0.000542,"ms/op",100
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,0.239456,0.028656,"ms/op",500
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,1.079739,0.148707,"ms/op",1000
"tensor.FloorBenchmark.fillBaseOrderF","avgt",1,3,6.623249,0.758709,"ms/op",2500
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,0.001340,0.000546,"ms/op",100
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,0.050268,0.009705,"ms/op",500
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,0.335953,1.119687,"ms/op",1000
"tensor.FloorBenchmark.fillJSAT","avgt",1,3,3.173756,0.085437,"ms/op",2500
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,0.001569,0.000137,"ms/op",100
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,0.064976,0.012115,"ms/op",500
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,0.470637,0.054322,"ms/op",1000
"tensor.FloorBenchmark.fillVecOrderC","avgt",1,3,3.446407,0.207472,"ms/op",2500
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,0.001525,0.000086,"ms/op",100
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,0.064454,0.009549,"ms/op",500
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,0.473751,0.056035,"ms/op",1000
"tensor.FloorBenchmark.fillVecOrderF","avgt",1,3,3.436560,0.561128,"ms/op",2500
