"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: len"
"unlinkedlist.ForEachOrNot.arrayForeach","thrpt",1,10,866.155405,4.782710,"ops/ms",100
"unlinkedlist.ForEachOrNot.arrayForeach","thrpt",1,10,698.726863,4.410802,"ops/ms",1000
"unlinkedlist.ForEachOrNot.arrayForeach","thrpt",1,10,245.626924,3.759176,"ops/ms",10000
"unlinkedlist.ForEachOrNot.arrayForeach","thrpt",1,10,35.394830,0.750368,"ops/ms",100000
"unlinkedlist.ForEachOrNot.arrayForeach","thrpt",1,10,2.261614,0.170713,"ops/ms",1000000
"unlinkedlist.ForEachOrNot.arrayFori","thrpt",1,10,835.308216,3.905412,"ops/ms",100
"unlinkedlist.ForEachOrNot.arrayFori","thrpt",1,10,679.779842,4.149751,"ops/ms",1000
"unlinkedlist.ForEachOrNot.arrayFori","thrpt",1,10,248.016378,5.346673,"ops/ms",10000
"unlinkedlist.ForEachOrNot.arrayFori","thrpt",1,10,34.896869,0.592133,"ops/ms",100000
"unlinkedlist.ForEachOrNot.arrayFori","thrpt",1,10,2.184998,0.242446,"ops/ms",1000000
"unlinkedlist.ForEachOrNot.arrayListForeach","thrpt",1,10,837.320532,4.891594,"ops/ms",100
"unlinkedlist.ForEachOrNot.arrayListForeach","thrpt",1,10,500.359484,5.740500,"ops/ms",1000
"unlinkedlist.ForEachOrNot.arrayListForeach","thrpt",1,10,71.737751,1.026614,"ops/ms",10000
"unlinkedlist.ForEachOrNot.arrayListForeach","thrpt",1,10,6.640997,0.053384,"ops/ms",100000
"unlinkedlist.ForEachOrNot.arrayListForeach","thrpt",1,10,0.742460,0.049587,"ops/ms",1000000
"unlinkedlist.ForEachOrNot.arrayListFori","thrpt",1,10,836.857558,3.343058,"ops/ms",100
"unlinkedlist.ForEachOrNot.arrayListFori","thrpt",1,10,501.552128,5.140731,"ops/ms",1000
"unlinkedlist.ForEachOrNot.arrayListFori","thrpt",1,10,72.119576,0.864751,"ops/ms",10000
"unlinkedlist.ForEachOrNot.arrayListFori","thrpt",1,10,6.549803,0.200789,"ops/ms",100000
"unlinkedlist.ForEachOrNot.arrayListFori","thrpt",1,10,0.774161,0.031307,"ops/ms",1000000
