"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunk","Param: n"
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.133706,0.002980,"ms/op",4,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1.203220,0.024658,"ms/op",4,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,10.276166,0.620055,"ms/op",4,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,35.984394,1.070180,"ms/op",4,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,96.673085,1.722050,"ms/op",4,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,418.982297,30.200254,"ms/op",4,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1048.620035,84.578622,"ms/op",4,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2282.553736,374.542932,"ms/op",4,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.135343,0.003956,"ms/op",8,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1.214328,0.135615,"ms/op",8,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,10.474370,0.639257,"ms/op",8,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,36.271697,1.817089,"ms/op",8,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,97.537798,6.338981,"ms/op",8,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,418.493661,14.286227,"ms/op",8,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1068.113476,82.801126,"ms/op",8,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2268.757808,614.483044,"ms/op",8,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.150206,0.005348,"ms/op",16,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1.188665,0.014594,"ms/op",16,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,10.234654,0.883573,"ms/op",16,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,35.387571,0.987704,"ms/op",16,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,99.367907,14.878584,"ms/op",16,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,417.923110,27.934463,"ms/op",16,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1035.010261,65.472547,"ms/op",16,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2234.739837,275.276010,"ms/op",16,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.179642,0.013705,"ms/op",32,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1.163454,0.017911,"ms/op",32,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,10.224141,0.384131,"ms/op",32,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,35.833495,2.669710,"ms/op",32,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,95.802285,2.932968,"ms/op",32,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,411.374237,13.954967,"ms/op",32,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1051.392786,65.888415,"ms/op",32,2000
