"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseC","avgt",1,10,0.002581,0.000380,"ms/op",100
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseC","avgt",1,10,0.527025,0.024687,"ms/op",1000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseC","avgt",1,10,2.786867,0.261368,"ms/op",2500
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseC","avgt",1,10,8.545696,0.322700,"ms/op",5000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseC","avgt",1,10,34.185462,3.744150,"ms/op",10000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseR","avgt",1,10,0.002187,0.000362,"ms/op",100
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseR","avgt",1,10,0.504414,0.038623,"ms/op",1000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseR","avgt",1,10,2.665822,0.123755,"ms/op",2500
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseR","avgt",1,10,7.944247,0.064808,"ms/op",5000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorDenseR","avgt",1,10,30.318178,1.531612,"ms/op",10000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeC","avgt",1,10,0.006248,0.001490,"ms/op",100
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeC","avgt",1,10,0.789554,0.057625,"ms/op",1000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeC","avgt",1,10,5.042025,0.590543,"ms/op",2500
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeC","avgt",1,10,18.797235,0.391527,"ms/op",5000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeC","avgt",1,10,73.470654,0.760296,"ms/op",10000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeR","avgt",1,10,0.016962,0.001786,"ms/op",100
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeR","avgt",1,10,0.570117,0.042661,"ms/op",1000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeR","avgt",1,10,2.667712,0.075773,"ms/op",2500
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeR","avgt",1,10,8.701755,0.485338,"ms/op",5000
"algebra.rapaio.densevsstripe.RapaioMatrixVectorMultiplicationBenchmark.testMatrixDotVectorStripeR","avgt",1,10,33.453466,3.737343,"ms/op",10000
