"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.base.StorageBenchmark.testSumArrayDense","avgt",1,5,0.000980,0.000011,"ms/op",1000
"algebra.base.StorageBenchmark.testSumArrayDense","avgt",1,5,0.010080,0.001158,"ms/op",10000
"algebra.base.StorageBenchmark.testSumArrayDense","avgt",1,5,0.114233,0.044772,"ms/op",100000
"algebra.base.StorageBenchmark.testSumArrayDense","avgt",1,5,1.097819,0.126366,"ms/op",1000000
"algebra.base.StorageBenchmark.testSumArrayMapped","avgt",1,5,0.001027,0.000168,"ms/op",1000
"algebra.base.StorageBenchmark.testSumArrayMapped","avgt",1,5,0.010429,0.003951,"ms/op",10000
"algebra.base.StorageBenchmark.testSumArrayMapped","avgt",1,5,0.105125,0.006501,"ms/op",100000
"algebra.base.StorageBenchmark.testSumArrayMapped","avgt",1,5,1.341451,0.058796,"ms/op",1000000
"algebra.base.StorageBenchmark.testSumArrayStride","avgt",1,5,0.000975,0.000006,"ms/op",1000
"algebra.base.StorageBenchmark.testSumArrayStride","avgt",1,5,0.010004,0.001063,"ms/op",10000
"algebra.base.StorageBenchmark.testSumArrayStride","avgt",1,5,0.103974,0.001690,"ms/op",100000
"algebra.base.StorageBenchmark.testSumArrayStride","avgt",1,5,1.355245,0.043613,"ms/op",1000000
"algebra.base.StorageBenchmark.testSumVectorizedDense","avgt",1,5,0.000262,0.000003,"ms/op",1000
"algebra.base.StorageBenchmark.testSumVectorizedDense","avgt",1,5,0.002568,0.000225,"ms/op",10000
"algebra.base.StorageBenchmark.testSumVectorizedDense","avgt",1,5,0.028016,0.000626,"ms/op",100000
"algebra.base.StorageBenchmark.testSumVectorizedDense","avgt",1,5,0.470108,0.070442,"ms/op",1000000
"algebra.base.StorageBenchmark.testSumVectorizedMapped","avgt",1,5,0.000278,0.000086,"ms/op",1000
"algebra.base.StorageBenchmark.testSumVectorizedMapped","avgt",1,5,0.004368,0.006980,"ms/op",10000
"algebra.base.StorageBenchmark.testSumVectorizedMapped","avgt",1,5,0.040830,0.003145,"ms/op",100000
"algebra.base.StorageBenchmark.testSumVectorizedMapped","avgt",1,5,0.338047,0.013446,"ms/op",1000000
"algebra.base.StorageBenchmark.testSumVectorizedStride","avgt",1,5,0.000338,0.000013,"ms/op",1000
"algebra.base.StorageBenchmark.testSumVectorizedStride","avgt",1,5,0.003541,0.000161,"ms/op",10000
"algebra.base.StorageBenchmark.testSumVectorizedStride","avgt",1,5,0.048901,0.002128,"ms/op",100000
"algebra.base.StorageBenchmark.testSumVectorizedStride","avgt",1,5,0.327304,0.026081,"ms/op",1000000
