x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
0.001,-318.30883898555,-22.3271247701199,-10.2145318524074,-5.89342953135601,-4.78528962863833,-4.14370049404659,-3.7328344253109,-3.55180834320333,-3.26140905579832,-3.17373949373878,-3.09840216391292,-3.09104751603061
0.002,-159.152848691281,-15.7639145520397,-8.05261307454165,-5.03024440508208,-4.20712455660395,-3.71623550075201,-3.39482903173146,-3.25116175564783,-3.01769601008167,-2.94642135252235,-2.88485619320416,-2.87882989064991
0.003,-106.100153783339,-12.8517769658599,-6.99439105428982,-4.57034744337887,-3.88681346037131,-3.47209805932911,-3.19704808928707,-3.07306937899445,-2.87007965411547,-2.8077055026091,-2.75366669592679,-2.74836886153812
0.004,-79.5732827116444,-11.1131457307159,-6.32210079979364,-4.26194499329915,-3.66661316419542,-3.30099818377741,-3.05629968776602,-2.94534923551508,-2.76272428225667,-2.70635021308095,-2.65740618092361,-2.65260254152991
0.005,-63.6567411628716,-9.92484320091829,-5.84090930973336,-4.03214298355523,-3.49948329735049,-3.16927267261695,-2.94671288347524,-2.84533970978611,-2.67779327094084,-2.62589052143802,-2.58075469806595,-2.57632104666853
0.006,-53.0453643631561,-9.04634464532417,-5.47178908902287,-3.85009294747503,-3.3651230421273,-3.0621692541944,-2.85680993597903,-2.76292380963202,-2.60723236180338,-2.55886299299574,-2.51674375984273,-2.51260355621917
0.007,-45.4655102641927,-8.36254124661161,-5.17546547194087,-3.69995920414817,-3.25295433809358,-2.97191067771673,-2.78048304262106,-2.69269220850583,-2.54669770509565,-2.50123070632795,-2.46159425825215,-2.45769582667364
0.008,-39.7803578397605,-7.81050781051172,-4.9297995441068,-3.57257621612272,-3.15677969486054,-2.89389687667101,-2.71409203593092,-2.63140857274559,-2.49357214145828,-2.45055569346545,-2.41301907119218,-2.40932530085204
0.009,-35.3583398512316,-7.352557134995,-4.72118294854763,-3.4621824282631,-3.07266291794248,-2.8251826491071,-2.65529130007048,-2.57698071560927,-2.44615373336833,-2.40524939882689,-2.36952526559989,-2.36600828750845
0.01,-31.820515953774,-6.96455673428327,-4.54070285856813,-3.36492999890722,-2.99795156686853,-2.7637694581127,-2.60248029501112,-2.52797700274157,-2.40327191667417,-2.36421736623848,-2.33008267475551,-2.32672083866948
0.011,-28.9257422900804,-6.63024182269752,-4.38223095981165,-3.27812709901151,-2.9307753028382,-2.70823934674027,-2.55451785906543,-2.48337416304066,-2.36408624349286,-2.32667260465326,-2.29394952703738,-2.29072556006262
0.012,-26.5132562872327,-6.3381968682868,-4.24138815335027,-3.19982012665992,-2.86976702567069,-2.65755013664249,-2.51056156336018,-2.44241511725449,-2.32797238766553,-2.29202970857895,-2.2605733817609,-2.25747320420245
