place	country	both	men	mrank	women	wrank
1 	 Monaco 	86.5 	83 	- 	90 	-
2 	 Japan 	84.6 	82 	- 	87.2 	-
3 	 Andorra 	84.2 	80.8 	- 	87.6 	-
4 	 Singapore 	84 	82 	- 	87 	-
5 	 Hong Kong 	83.8 	82 	- 	85.6 	-
6 	 San Marino 	83.5 	82 	- 	85 	-
7 	 Iceland 	83.3 	81.4 	- 	85.2 	-
8 	 Italy 	82.1 	75.4 	- 	85.8 	-
9 	 Australia 	83 	80.5 	- 	85.5 	-
10 	 Sweden 	83 	81.4 	- 	84.6 	-
11 	  Switzerland 	82.8 	80.4 	- 	85.4 	-
12 	 Canada 	82.5 	80.4 	- 	84.6 	-
13 	 France 	82.3 	79.4 	- 	85.2 	-
14 	 Israel 	82.1 	80.2 	- 	84 	-
15 	 Spain 	82 	79 	- 	85 	-
16 	 Luxembourg 	82 	79.5 	- 	84.5 	-
17 	 Norway 	81.9 	80.2 	- 	83.6 	-
18 	 New Zealand 	81.7 	79.4 	- 	84 	-
19 	 Austria 	81.5 	78.5 	- 	84.5 	15
20 	 Netherlands 	81.5 	79.5 	- 	83.5 	-
21 	 Ireland 	81.4 	79.2 	- 	83.6 	-
22 	 Cyprus 	81.2 	79.1 	- 	84.3 	-
23 	 Finland 	81 	78 	- 	84 	-
24 	 Germany 	81 	78.5 	- 	83.5 	26
25 	 Greece 	81 	78 	- 	84 	21
26 	 South Korea 	81 	77.5 	- 	84.5 	16
27 	 Malta 	81 	79.4 	- 	82.6 	31
28 	 Belgium 	81 	78.5 	- 	83.5 	27
29 	 United Kingdom 	81 	79.5 	- 	82.5 	-
30 	 Liechtenstein 	80.7 	77.8 	- 	83.6 	-
31 	 Taiwan 	80.6 	78 	- 	83.2 	-
32 	 Portugal 	80 	77 	- 	83 	-
33 	 Slovenia 	80 	77 	- 	83 	-
34 	 Costa Rica 	79.8 	78.3 	- 	81.3 	-
35 	 United States 	79.8 	77.4 	- 	82.2 	-
36 	 Chile 	79.5 	76.5 	- 	82.5 	-
37 	 Denmark 	79.5 	77 	- 	82 	-
38 	 Cuba 	79.4 	77.4 	- 	81.4 	-
40 	 United Arab Emirates 	79.2 	77.2 	- 	81.2 	-
41 	 Brunei 	79 	77.5 	- 	80.5 	-
42 	 Barbados 	78.5 	76.2 	- 	80.8 	-
43 	 Kuwait 	78.2 	75.5 	- 	80.5 	-
44 	 Czech Republic 	78 	75 	- 	81 	-
45 	 Panama 	77.8 	74.6 	- 	81 	-
46 	 Poland 	77 	72.5 	- 	81.5 	-
47 	 Croatia 	77.5 	74.5 	- 	80.5 	-
48 	 Dominica 	77.5 	75 	- 	80 	-
49 	 Uruguay 	77.3 	74.2 	- 	80.4 	-
