x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-10,0.0317255174305536,0.00492622851166285,0.00106419952920707,8.54737878714818e-05,1.06971014453864e-05,7.94776587798205e-07,2.49844907146247e-08,1.5818908793572e-09,8.03866734416769e-14,4.95084449229705e-17,8.33535147930004e-23,9.81640371433201e-24
-9.9,0.0320438272106341,0.00502474814390467,0.00109599568392956,8.9692516548652e-05,1.14294076342975e-05,8.71401045176098e-07,2.85119643901776e-08,1.87265356164172e-09,1.12608890353497e-13,8.20226338279235e-17,2.07972790532525e-22,2.65507706744887e-23
-9.8,0.0323685668308654,0.00512623751134916,0.00112906319256283,9.41616807203797e-05,1.22190855285241e-05,9.56154648450878e-07,3.25702460316769e-08,2.21943578476611e-09,1.57931777432862e-13,1.35896449504907e-16,5.15092245952245e-22,7.11257368771471e-23
-9.7,0.0326999324057126,0.00523081653581388,0.00116346582179268,9.88986594993773e-05,1.30711969036056e-05,1.0499782216555e-06,3.72440970625842e-08,2.63351940336108e-09,2.2175244189441e-13,2.25154594399037e-16,1.26631401297719e-21,1.88712069292265e-22
-9.6,0.0330381280776306,0.00533861122005628,0.00119927118892676,0.000103922212644187,1.39913000659703e-05,1.15393049525682e-06,4.26325849077206e-08,3.12855503430142e-09,3.11718592894244e-13,3.73017753709589e-16,3.08999543855264e-21,4.95900101133693e-22
-9.5,0.0333833664305251,0.00544975401941413,0.00123655103398995,0.000109252604111312,1.49855034404075e-05,1.26920400357207e-06,4.88516257089489e-08,3.72107926385443e-09,4.38677440831493e-13,6.17918503868743e-16,7.48370243884608e-21,1.29065080858971e-21
-9.4,0.0337358689289317,0.00556438424005419,0.00127538151385214,0.000114911737902359,1.60605254643516e-05,1.39714327508121e-06,5.60370013192752e-08,4.43114900359645e-09,6.18028619581798e-13,1.02343970020845e-15,1.79886992866421e-20,3.32691593752506e-21
-9.3,0.0340958663847888,0.00568264846601456,0.00131584352039967,0.000120923307552383,1.72237615922664e-05,1.539265667565e-06,6.4347943106628e-08,5.28312045371538e-09,8.71654630481851e-13,1.69472153798905e-15,4.29131142966665e-20,8.49360233177905e-21
-9.2,0.0344635994538435,0.00580470101742898,0.00135802302496635,0.000127312960766303,1.84833593233963e-05,1.69728525720653e-06,7.397139392052e-08,6.30660677611313e-09,1.23067734500174e-12,2.80552693763207e-15,1.01594426746295e-19,2.14762086432536e-20
-9.1,0.0348393191638952,0.0059307044425448,0.0014020114514674,0.000134108480891771,1.98483022922228e-05,1.8731402578062e-06,8.51270823757711e-08,7.53765687871946e-09,1.73939677668463e-12,4.64285169171333e-15,2.38683277118609e-19,5.37820708994926e-20
-9,0.0352232874772773,0.00606083004639343,0.00144790608093207,0.000141339987121948,2.13285046056216e-05,2.069024524841e-06,9.80735712587956e-08,9.02020809009679e-09,2.46092289073337e-12,7.68038525737515e-15,5.56453858593573e-19,1.33392163473433e-19
-8.9,0.0356157778901803,0.00619525845924484,0.00149581049041307,0.000149040155553726,2.29349167768668e-05,2.28742379134242e-06,1.13115475432008e-07,1.08078784941719e-08,3.48523314299218e-12,1.26993604553801e-14,1.28728382069628e-18,3.27668527224568e-19
-8.8,0.0360170760716513,0.00633418024827973,0.00154583502956457,0.000157244463489705,2.46796447976831e-05,2.53115739096639e-06,1.30612085411878e-07,1.29661809737988e-08,4.94070716865737e-12,2.09871483407032e-14,2.95488449217097e-18,7.97167423572198e-19
-8.7,0.0364274805453522,0.00647779657624743,0.00159809733853149,0.000165991459670183,2.65760841094327e-05,2.80342635114876e-06,1.50987682436747e-07,1.55752614322112e-08,7.01064788644483e-12,3.46632347894126e-14,6.72993618228568e-18,1.9207621911061e-18
-8.6,0.0368473034174359,0.00662631991124814,0.00165272291118438,0.000175323063459454,2.8639070487889e-05,3.10786888941496e-06,1.74743891302253e-07,1.87332893030131e-08,9.95695604648772e-12,5.72136163629256e-14,1.52078897419281e-17,4.58359033253318e-18
-8.5,0.0372768711542052,0.00677997479218946,0.00170984570817224,0.00018528489639474,3.08850501482815e-05,3.44862452295941e-06,2.02474490962616e-07,2.25606606894663e-08,1.41540702747098e-11,9.43657021872512e-14,3.4095574473321e-17,1.08329089052322e-17
-8.4,0.0377165254135488,0.006938998654924,0.00176960882475594,0.00019592664994278,3.33322717147075e-05,3.83040821055989e-06,2.34883192877676e-07,2.72052150251997e-08,2.01376423865097e-11,1.55518641018201e-13,7.58371039592674e-17,2.53565701195788e-17
-8.3,0.0381666239345237,0.00710364272458258,0.00183216521893452,0.000207302493806126,3.60010030880249e-05,4.2585961927619e-06,2.7280500703038e-07,3.28487172185921e-08,2.86743682102992e-11,2.56078123657233e-13,1.67341598321521e-16,5.87815628393032e-17
-8.2,0.0386275414898551,0.00727417298018283,0.00189767850599279,0.00021947152968762,3.89137766976101e-05,4.73932548824983e-06,3.17231950015418e-07,3.97149216208128e-08,4.08621956897108e-11,4.21261443195406e-13,3.66309735016448e-16,1.3495721307137e-16
-8.1,0.0390996709065815,0.00745087119822247,0.00196632382629063,0.000232498296067609,4.2095667145099e-05,5.27960935003251e-06,3.69344014248086e-07,4.80796153845635e-08,5.82741549736941e-11,6.92288002116762e-13,7.95425434372782e-16,3.06870146577803e-16
-8,0.0395834241605655,0.00763403608266907,0.00203828879389273,0.000246453330286222,4.55746058543768e-05,5.88747139483307e-06,4.30546519135381e-07,5.82831413574425e-08,8.31648301416067e-11,1.13643240386404e-12,1.71333074119574e-15,6.91060436453265e-16
-7.9,0.0400792335511487,0.00782398448954162,0.00211377453451215,0.000261413795066416,4.93817380457145e-05,6.57210160526919e-06,5.02515212612057e-07,7.07460303025691e-08,1.18766778631194e-10,1.86331876221722e-12,3.6606489692946e-15,1.54127318546583e-15
-7.8,0.0405875529628379,0.00802105275515586,0.00219299682222763,0.000277464177578643,5.35518281696272e-05,7.34403798190799e-06,5.87250795445978e-07,8.5988536238458e-08,1.69716088402543e-10,3.05127722260653e-12,7.75773080641368e-15,3.40443341606307e-15
-7.7,0.0411088592215951,0.00822559813808545,0.00227618732554638,0.000294697070253658,5.81237208872606e-05,8.21537830893979e-06,6.87144914378087e-07,1.04655076303132e-07,2.42663295711524e-10,4.98988495509202e-12,1.63063156695184e-14,7.44751173717669e-15
-7.6,0.0416436535540548,0.00843800038598919,0.00236359497463925,0.000313214043818063,6.31408657918946e-05,9.20002731451645e-06,8.05060129863789e-07,1.27544839566718e-07,3.47150281230778e-10,8.14847470941235e-12,3.39943284082858e-14,1.61353449815375e-14
-7.5,0.0421924631588414,0.00865866343968622,0.00245548746299415,0.00033312662448309,6.86519153576391e-05,1.03139854805909e-05,9.44426930235403e-07,1.55650162659594e-07,4.96868672048296e-10,1.32861996318603e-11,7.02864673060577e-14,3.46214839205878e-14
-7.4,0.042755842900092,0.00888801728824353,0.00255215289833876,0.000354557388890485,7.47114071086602e-05,1.15756869185016e-05,1.10936156170601e-06,1.90204693077412e-07,7.11465186541899e-10,2.16284201165606e-11,1.44124209667694e-13,7.35721087972711e-14
-7.3,0.0433343771343428,0.00912651999039424,0.00265390161950227,0.000377641192344872,8.13805427632209e-05,1.30063951130823e-05,1.30480930405191e-06,2.32743897936579e-07,1.01913063656345e-09,3.51486354992111e-11,2.93081008869998e-13,1.54839106629436e-13
-7.2,0.0439286816831025,0.00937465987935432,0.00276106819794803,0.000402526548079927,8.87280791663142e-05,1.46306669949769e-05,1.53671888386244e-06,2.85181157824702e-07,1.46031097265952e-09,5.70178768744513e-11,5.91030210354674e-13,3.22736397476975e-13
-7.1,0.0445394059647518,0.00963295797007561,0.00287401364505074,0.000429377177863457,9.68313482358272e-05,1.64768977826735e-05,1.81225502913314e-06,3.49903551759729e-07,2.09302358935764e-09,9.23189663858179e-11,1.18192223789788e-12,6.6621602661227e-13
-7,0.0451672353008665,0.00990197059019657,0.00299312784885355,0.000458373757199202,0.000105777425972936,1.85779614084285e-05,2.14005779056391e-06,4.29892540494567e-07,3.00046811442587e-09,1.49178330180459e-10,2.34375128338571e-12,1.3620157803399e-12
-6.9,0.0458128934137141,0.0101822922584628,0.00311883226706977,0.000489715881795689,0.000115664473902423,2.09719641852736e-05,2.53055926055498e-06,5.28876155589406e-07,4.30191344927769e-09,2.40553812087228e-10,4.60854606695904e-12,2.75771467109883e-12
-6.8,0.0464771451335144,0.0104745588372293,0.0032515829065457,0.000523624285920532,0.000126603280201376,2.37031327818077e-05,2.99637080290096e-06,6.5152108240174e-07,6.16825751214484e-09,3.87049404441621e-10,8.98530366092144e-12,5.52989569629757e-12
-6.7,0.0471607993361373,0.0107794509888721,0.00339187362333872,0.000560343347831129,0.000138719032350352,2.68228616635804e-05,3.55275697920699e-06,8.0367529016092e-07,8.84424280154095e-09,6.21331511645008e-10,1.73702016039198e-11,1.09820993373242e-11
-6.6,0.0478647121342451,0.0110976979695832,0.0035402397820622,0.000600143922774262,0.000152153358524386,3.03909500749207e-05,4.21821616438287e-06,9.92674743431889e-07,1.26801390899782e-08,9.95033117748783e-10,3.32941041529054e-11,2.16000680627678e-11
-6.5,0.0485897903475289,0.0114300817981612,0.00369726231829191,0.000643326550199985,0.000167066681280474,3.44770645426198e-05,5.01519255973018e-06,1.22773139388464e-06,1.81768709813855e-08,1.58950701311773e-09,6.32714126600356e-11,4.20752605973052e-11
-6.4,0.049336995280668,0.0117774418421173,0.00386357225371656,0.000690225088983722,0.000183640934569445,3.91624699878599e-05,5.97095015695929e-06,1.52042431156299e-06,2.60502066849736e-08,2.53250857517107e-09,1.19210100410879e-10,8.1171054644098e-11
-6.3,0.0501073468410094,0.0121406798687697,0.0040398557204644,0.000741210842763665,0.000202082703912973,4.45420810826726e-05,7.11864645100156e-06,1.88532173944261e-06,3.73219199967723e-08,4.0239725880227e-09,2.22675157009183e-10,1.55088323335143e-10
