"";"x"
"1";-100
"2";-99,999
"3";-99,998
"4";-99,997
"5";-99,996
"6";-99,995
"7";-99,994
"8";-99,993
"9";-99,992
"10";-99,991
"11";-99,99
"12";-99,989
"13";-99,988
"14";-99,987
"15";-99,986
"16";-99,985
"17";-99,984
"18";-99,983
"19";-99,982
"20";-99,981
"21";-99,98
"22";-99,979
"23";-99,978
"24";-99,977
"25";-99,976
"26";-99,975
"27";-99,974
"28";-99,973
"29";-99,972
"30";-99,971
"31";-99,97
"32";-99,969
"33";-99,968
"34";-99,967
"35";-99,966
"36";-99,965
"37";-99,964
"38";-99,963
"39";-99,962
"40";-99,961
"41";-99,96
"42";-99,959
"43";-99,958
"44";-99,957
"45";-99,956
"46";-99,955
"47";-99,954
"48";-99,953
"49";-99,952
"50";-99,951
"51";-99,95
"52";-99,949
"53";-99,948
"54";-99,947
"55";-99,946
"56";-99,945
"57";-99,944
"58";-99,943
"59";-99,942
"60";-99,941
"61";-99,94
"62";-99,939
"63";-99,938
"64";-99,937
"65";-99,936
"66";-99,935
"67";-99,934
"68";-99,933
"69";-99,932
"70";-99,931
"71";-99,93
"72";-99,929
"73";-99,928
"74";-99,927
"75";-99,926
"76";-99,925
"77";-99,924
"78";-99,923
"79";-99,922
"80";-99,921
"81";-99,92
"82";-99,919
"83";-99,918
"84";-99,917
"85";-99,916
"86";-99,915
"87";-99,914
"88";-99,913
"89";-99,912
"90";-99,911
"91";-99,91
"92";-99,909
"93";-99,908
"94";-99,907
"95";-99,906
"96";-99,905
"97";-99,904
"98";-99,903
"99";-99,902
"100";-99,901
"101";-99,9
"102";-99,899
"103";-99,898
"104";-99,897
"105";-99,896
"106";-99,895
"107";-99,894
"108";-99,893
"109";-99,892
"110";-99,891
"111";-99,89
"112";-99,889
"113";-99,888
"114";-99,887
"115";-99,886
"116";-99,885
"117";-99,884
"118";-99,883
"119";-99,882
"120";-99,881
"121";-99,88
"122";-99,879
"123";-99,878
"124";-99,877
"125";-99,876
"126";-99,875
"127";-99,874
"128";-99,873
"129";-99,872
"130";-99,871
"131";-99,87
"132";-99,869
"133";-99,868
"134";-99,867
"135";-99,866
"136";-99,865
"137";-99,864
"138";-99,863
"139";-99,862
"140";-99,861
"141";-99,86
"142";-99,859
"143";-99,858
"144";-99,857
"145";-99,856
"146";-99,855
"147";-99,854
"148";-99,853
"149";-99,852
"150";-99,851
"151";-99,85
"152";-99,849
"153";-99,848
"154";-99,847
"155";-99,846
"156";-99,845
"157";-99,844
"158";-99,843
"159";-99,842
"160";-99,841
"161";-99,84
"162";-99,839
"163";-99,838
"164";-99,837
"165";-99,836
"166";-99,835
"167";-99,834
"168";-99,833
"169";-99,832
"170";-99,831
"171";-99,83
"172";-99,829
"173";-99,828
"174";-99,827
"175";-99,826
"176";-99,825
"177";-99,824
"178";-99,823
"179";-99,822
"180";-99,821
"181";-99,82
"182";-99,819
"183";-99,818
"184";-99,817
"185";-99,816
"186";-99,815
"187";-99,814
"188";-99,813
"189";-99,812
"190";-99,811
"191";-99,81
"192";-99,809
"193";-99,808
"194";-99,807
"195";-99,806
"196";-99,805
"197";-99,804
"198";-99,803
"199";-99,802
"200";-99,801
"201";-99,8
"202";-99,799
"203";-99,798
"204";-99,797
"205";-99,796
"206";-99,795
"207";-99,794
"208";-99,793
"209";-99,792
"210";-99,791
"211";-99,79
"212";-99,789
"213";-99,788
"214";-99,787
"215";-99,786
"216";-99,785
"217";-99,784
"218";-99,783
"219";-99,782
"220";-99,781
"221";-99,78
"222";-99,779
"223";-99,778
"224";-99,777
"225";-99,776
"226";-99,775
"227";-99,774
"228";-99,773
"229";-99,772
"230";-99,771
"231";-99,77
"232";-99,769
"233";-99,768
"234";-99,767
"235";-99,766
"236";-99,765
"237";-99,764
"238";-99,763
"239";-99,762
"240";-99,761
"241";-99,76
"242";-99,759
"243";-99,758
"244";-99,757
"245";-99,756
"246";-99,755
"247";-99,754
"248";-99,753
"249";-99,752
"250";-99,751
"251";-99,75
"252";-99,749
"253";-99,748
"254";-99,747
"255";-99,746
"256";-99,745
"257";-99,744
"258";-99,743
"259";-99,742
"260";-99,741
"261";-99,74
"262";-99,739
"263";-99,738
"264";-99,737
"265";-99,736
"266";-99,735
"267";-99,734
"268";-99,733
"269";-99,732
"270";-99,731
"271";-99,73
"272";-99,729
"273";-99,728
"274";-99,727
"275";-99,726
"276";-99,725
"277";-99,724
"278";-99,723
"279";-99,722
"280";-99,721
"281";-99,72
"282";-99,719
"283";-99,718
"284";-99,717
"285";-99,716
"286";-99,715
"287";-99,714
"288";-99,713
"289";-99,712
"290";-99,711
"291";-99,71
"292";-99,709
"293";-99,708
"294";-99,707
"295";-99,706
"296";-99,705
"297";-99,704
"298";-99,703
"299";-99,702
"300";-99,701
"301";-99,7
"302";-99,699
"303";-99,698
"304";-99,697
"305";-99,696
"306";-99,695
"307";-99,694
"308";-99,693
"309";-99,692
"310";-99,691
"311";-99,69
"312";-99,689
"313";-99,688
"314";-99,687
"315";-99,686
"316";-99,685
"317";-99,684
"318";-99,683
"319";-99,682
"320";-99,681
"321";-99,68
"322";-99,679
"323";-99,678
"324";-99,677
"325";-99,676
"326";-99,675
"327";-99,674
"328";-99,673
"329";-99,672
"330";-99,671
"331";-99,67
"332";-99,669
"333";-99,668
"334";-99,667
"335";-99,666
"336";-99,665
"337";-99,664
"338";-99,663
"339";-99,662
"340";-99,661
"341";-99,66
"342";-99,659
"343";-99,658
"344";-99,657
"345";-99,656
"346";-99,655
"347";-99,654
"348";-99,653
"349";-99,652
"350";-99,651
"351";-99,65
"352";-99,649
"353";-99,648
"354";-99,647
"355";-99,646
"356";-99,645
"357";-99,644
"358";-99,643
"359";-99,642
"360";-99,641
"361";-99,64
"362";-99,639
"363";-99,638
"364";-99,637
"365";-99,636
"366";-99,635
"367";-99,634
"368";-99,633
"369";-99,632
"370";-99,631
"371";-99,63
"372";-99,629
"373";-99,628
"374";-99,627
"375";-99,626
"376";-99,625
"377";-99,624
"378";-99,623
"379";-99,622
"380";-99,621
"381";-99,62
"382";-99,619
"383";-99,618
"384";-99,617
"385";-99,616
"386";-99,615
"387";-99,614
"388";-99,613
"389";-99,612
"390";-99,611
"391";-99,61
"392";-99,609
"393";-99,608
"394";-99,607
"395";-99,606
"396";-99,605
"397";-99,604
"398";-99,603
"399";-99,602
"400";-99,601
"401";-99,6
"402";-99,599
"403";-99,598
"404";-99,597
"405";-99,596
"406";-99,595
"407";-99,594
"408";-99,593
"409";-99,592
"410";-99,591
"411";-99,59
"412";-99,589
"413";-99,588
"414";-99,587
"415";-99,586
"416";-99,585
"417";-99,584
"418";-99,583
"419";-99,582
"420";-99,581
"421";-99,58
"422";-99,579
"423";-99,578
"424";-99,577
"425";-99,576
"426";-99,575
"427";-99,574
"428";-99,573
"429";-99,572
"430";-99,571
"431";-99,57
"432";-99,569
"433";-99,568
"434";-99,567
"435";-99,566
"436";-99,565
"437";-99,564
"438";-99,563
"439";-99,562
"440";-99,561
"441";-99,56
"442";-99,559
"443";-99,558
"444";-99,557
"445";-99,556
"446";-99,555
"447";-99,554
"448";-99,553
"449";-99,552
"450";-99,551
"451";-99,55
"452";-99,549
"453";-99,548
"454";-99,547
"455";-99,546
"456";-99,545
"457";-99,544
"458";-99,543
"459";-99,542
"460";-99,541
"461";-99,54
"462";-99,539
"463";-99,538
"464";-99,537
"465";-99,536
"466";-99,535
"467";-99,534
"468";-99,533
"469";-99,532
"470";-99,531
"471";-99,53
"472";-99,529
"473";-99,528
"474";-99,527
"475";-99,526
"476";-99,525
"477";-99,524
"478";-99,523
"479";-99,522
"480";-99,521
"481";-99,52
"482";-99,519
"483";-99,518
"484";-99,517
"485";-99,516
"486";-99,515
"487";-99,514
"488";-99,513
"489";-99,512
"490";-99,511
"491";-99,51
"492";-99,509
"493";-99,508
"494";-99,507
"495";-99,506
"496";-99,505
"497";-99,504
"498";-99,503
"499";-99,502
"500";-99,501
"501";-99,5
"502";-99,499
"503";-99,498
"504";-99,497
"505";-99,496
"506";-99,495
"507";-99,494
"508";-99,493
"509";-99,492
"510";-99,491
"511";-99,49
"512";-99,489
"513";-99,488
"514";-99,487
"515";-99,486
"516";-99,485
"517";-99,484
"518";-99,483
"519";-99,482
"520";-99,481
"521";-99,48
"522";-99,479
"523";-99,478
"524";-99,477
"525";-99,476
"526";-99,475
"527";-99,474
"528";-99,473
"529";-99,472
"530";-99,471
"531";-99,47
"532";-99,469
"533";-99,468
"534";-99,467
"535";-99,466
"536";-99,465
"537";-99,464
"538";-99,463
"539";-99,462
"540";-99,461
"541";-99,46
"542";-99,459
"543";-99,458
"544";-99,457
"545";-99,456
"546";-99,455
"547";-99,454
"548";-99,453
"549";-99,452
"550";-99,451
"551";-99,45
"552";-99,449
"553";-99,448
"554";-99,447
"555";-99,446
